state,year,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag
MD,2024,1904.01834296008,24168,22840,39471,859.88284985095,829.32661734269,1647,1647,14569,284.65054191686
ME,2007,173.58691985258,3315,3315,4077,70.99198672235,83.4786827402,522,522,2202,28.74868373824
ME,2008,190.59070268837,3486,3486,4437,78.74411965949,110.84595468296,517,517,2525,33.55201409234
ME,2009,179.19743841309,3588,3588,4493,75.52267649719,112.30204737217,481,481,2741,34.18494308819
ME,2010,182.20184328562,3864,3864,4565,68.51525942815,108.62331294733,449,449,2619,31.78113316784
ME,2011,192.71704846346,4263,4263,5145,78.33422471591,108.08320215814,449,449,2590,32.24979799501
ME,2012,186.20017834693,3993,3993,5007,76.17142601706,96.40013222914,441,441,2499,30.81553418627
ME,2013,197.61657262364,4174,4174,4973,71.20203777836,99.29810582002,410,410,2546,31.6934005061
ME,2014,194.05553235349,4210,4210,4704,70.35828132465,109.90809217184,439,439,2658,33.26559698579
ME,2015,196.5827639403,4105,4105,4668,73.40952294263,119.46593466024,454,454,2820,35.87362004002
ME,2016,202.64970955042,4030,4030,4568,72.81780827225,125.16719437873,453,453,2895,36.02565314687
ME,2017,208.01883865534,3953,3953,4692,75.65313623306,123.51512311055,439,439,2660,32.60146329321
ME,2018,219.87988340801,3979,3979,4827,79.95612659522,125.76366308185,464,464,2991,36.83887080372
ME,2019,233.32712204431,4027,4027,5153,87.84392596076,134.80960073064,486,486,3192,40.81096865883
ME,2020,176.26431273483,3845,3845,5039,69.61397946187,99.66756555653,417,417,3533,33.25633163419
ME,2021,230.02927590231,3968,3968,5236,88.69697061424,119.77529092924,417,417,2734,38.87413445816
ME,2022,252.59266376515,4022,4022,5131,87.56552649627,168.39725164492,420,420,2762,38.34634453167
ME,2023,255.09282244354,4011,4011,5179,87.88568639684,161.30739349104,403,403,2700,37.16711607478
ME,2024,253.5219537703,3982,3982,5173,87.1948349036,163.41645095078,395,395,2733,37.45210302857
MI,2007,1586.43884332705,25584,25509,40863,656.9331435825,748.84919224471,2083,2080,17089,284.48910428934
MI,2008,1627.2447881965,26323,26323,40514,641.78461836958,764.21150781169,2055,2039,16916,277.1385706055
MI,2009,1528.24267398326,27285,27285,41282,631.86933047907,780.53878387658,2031,2004,16520,259.10388243427
MI,2010,1554.99083424433,28719,28719,43626,644.17756424401,787.246134819,2005,1978,15666,258.32946976201
MI,2011,1559.42099313379,29898,29898,45888,672.60048240036,801.95644888804,2015,1982,16045,265.67314798432
MI,2012,1515.41315127136,29954,29954,44397,645.96194147375,816.57217491419,2124,2082,15646,254.93471159516
MI,2013,1599.32238346088,29664,29639,44129,598.94663860198,808.30390324595,2135,2094,15918,259.47782895071
MI,2014,1574.77385952124,29751,29422,44084,627.88223321148,884.33777816792,2237,2193,17260,284.17322635695
MI,2015,1590.00943470984,28800,28205,43318,648.40728001996,932.58991592512,2289,2253,17599,294.3108830679
MI,2016,1609.59248369317,27702,27005,42142,646.75347584184,996.0030420322,2322,2287,18682,309.22017157539
MI,2017,1721.6242291104,27516,26734,43195,679.72124069517,1031.72795355972,2423,2358,19032,314.48072572229
MI,2018,1731.1173371899,27272,26697,43709,690.21976993051,1034.98553463591,2481,2422,19993,324.26375206344
MI,2019,1774.08757251848,26914,26547,43860,712.38384120081,1073.48000599836,2552,2491,20371,342.81461529635
MI,2020,1360.3275721533,25676,25562,43974,580.01551201576,735.63776248889,2298,2228,20446,253.82244639943
MI,2021,1662.93473536118,27147,26370,41166,687.25822664643,877.7797290849,2311,2255,14502,280.78697370827
MI,2022,1941.45606578821,28350,28350,41167,683.91692056794,1010.85324169118,2309,2218,15565,290.65389757578
MI,2023,1922.77167024803,28110,28110,40839,678.16517018234,962.84435934558,2275,2193,14986,278.90404433178
MI,2024,1873.99181709075,27753,27753,40100,663.46013781305,970.07834689809,2286,2203,14948,277.77087443605
MN,2007,1396.48608357967,19144,19144,34079,682.16545626197,693.77519269835,1863,1822,14146,243.43352027583
MN,2008,1425.11658082692,19410,19410,35628,713.94761676374,701.34481238721,1829,1739,15310,263.40857014595
MN,2009,1429.99852540499,20916,20916,37494,741.60681905386,714.64684749969,1819,1775,15369,258.60753279793
MN,2010,1421.28329805702,22631,22631,38995,714.1644994165,722.47839121969,1728,1653,15192,257.94658489573
MN,2011,1449.52785481682,24021,24021,41141,750.72552255733,739.77743881898,1821,1729,15451,264.42288079126
MN,2012,1516.99401432222,24386,24386,41216,748.61738143374,758.68293471504,1953,1854,15915,268.75094563191
MN,2013,1588.51101170182,25348,25348,42102,724.61205352069,748.80259305675,1902,1823,16380,281.08844246502
MN,2014,1591.67059496816,25615,25615,42998,772.86383732955,822.30110875824,1988,1856,17449,300.98464083081
MN,2015,1637.70934743125,25624,25624,42382,795.30887868025,870.56562598304,1978,1873,17981,312.95925354527
MN,2016,1683.59524984524,25301,25301,41506,801.34034517273,931.81686796333,1979,1863,18732,323.82053954799
MN,2017,1689.10883969428,25629,25480,40967,795.20544178872,957.56462112538,2183,2083,19724,333.75843580412
